Molecule ChEMBL ID,MOL_molhash_id,MOL_num_stereoisomers,CLS_pChEMBL Value,AC_CLS_pChEMBL Value,MOL_molhash_id_no_stereo,MOL_smiles,pChEMBL Value,Smiles,split
CHEMBL27309,986a38b16d8dc658638ccfc7616e9137a7f34784,1,0.0,True,5adbcb53c6bcbee0f7554adfe59b243afc037dff,CN1CCc2ccc3c4c2[C@H]1Cc1cccc(c1-4)[C@@]3(C)O,6.74,CN1CCc2ccc3c4c2[C@H]1Cc1cccc(c1-4)[C@@]3(C)O,train
CHEMBL233816,7fa1c23ae3aeeecf4fa3b93f8406eff462a36eb8,1,0.0,True,4d7681938793d97b1f6369b6d97e1d9d6bfe4a36,COc1ccc(Cl)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,6.795,COc1ccc(Cl)cc1S(=O)(=O)N[C@H]1CC[C@@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,train
CHEMBL11363,fbc21c1e7c8326564e36706defdf60e24cf5c07f,1,1.0,True,42871f6c6cc02aace5cebdc40e55b44440a0ae81,C=CCN1CC[C@@H]2Cc3c(O)cccc3C[C@H]21,9.52,C=CCN1CC[C@@H]2Cc3c(O)cccc3C[C@H]21,train
CHEMBL2028019,176c03f0086a2a9921ea08b54a9c32678be45398,1,1.0,True,685fe3905e3561b7d7e9d0f9dc2a7f6aff92d8d3,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,9.3,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,train
CHEMBL3935776,94b7c6a5537625d9c42c4c1ecfe79a0eaf66512b,1,0.0,True,279b037bc76e9fa3fca5da0da4b3b1f31ae43956,Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(C[C@H]3c3ccc(C(F)(F)F)cc3F)C2)n1C,6.505,Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(C[C@H]3c3ccc(C(F)(F)F)cc3F)C2)n1C,train
CHEMBL4867794,50ce77937253ea65563712384c32d265334f068f,1,0.0,True,081b944f6b7e7c2663f657c06bd497bed3161e27,COc1ccc(Cl)cc1[C@@H]1C[C@H]1CNCCCOc1ccc2ccc(=O)[nH]c2c1,6.5,COc1ccc(Cl)cc1[C@@H]1C[C@H]1CNCCCOc1ccc2ccc(=O)[nH]c2c1,train
CHEMBL1081409,9f8b0ce5ef889041a3b4ab08095ca91b1a3de20e,1,1.0,True,dff0f5e8a084cdf92b8eb284e1c10b9f1d5c90e2,Cc1ncoc1-c1nnc(SCCCN2C[C@@H]3C[C@]3(c3ccc(C(F)(F)F)cc3)C2)n1C,7.0,Cc1ncoc1-c1nnc(SCCCN2C[C@@H]3C[C@]3(c3ccc(C(F)(F)F)cc3)C2)n1C,train
CHEMBL566133,4511856df58e272a522d0e5baadbd36e1a94e14d,1,1.0,True,b4b9a339b24fea9a64ff6f5e43e80795144371c1,C=CCN1CC[C@@H]2c3cccc(O)c3CC[C@@H]21,7.23,C=CCN1CC[C@@H]2c3cccc(O)c3CC[C@@H]21,train
CHEMBL156639,7ee2a430a2bc55f8fc079a8a5e6828de0f0b0a53,1,0.0,True,17c274a6c0a50f816edd1f81800261291908d195,CCCN(CCN1CCN(c2ccccc2)CC1)C1CCc2ccc(O)cc2C1,6.76,CCCN(CCN1CCN(c2ccccc2)CC1)C1CCc2ccc(O)cc2C1,train
CHEMBL168611,c57b040ddc0f79aaa861faa084e99f710478e6a9,1,1.0,True,475e8f31290e947ebea6d442fe917c6d62bb7673,CCC[C@H]1CN(Cc2ccccc2)C[C@H]1CNC(=O)c1cc(Cl)c(NC)cc1OC,7.449999999999999,CCC[C@H]1CN(Cc2ccccc2)C[C@H]1CNC(=O)c1cc(Cl)c(NC)cc1OC,train
CHEMBL5274609,cc876e6792462348af23bd0d4bd39609228da0dd,1,0.0,True,ab57a57bb25203c652bc64db8bfb76e84ddab7d9,C[C@H]1CO[C@@H](c2ccc(N)nc2)CN1CC[C@H]1CC[C@@H](NC(=O)c2cc3ccccc3[nH]2)CC1,6.96,C[C@H]1CO[C@@H](c2ccc(N)nc2)CN1CC[C@H]1CC[C@@H](NC(=O)c2cc3ccccc3[nH]2)CC1,train
CHEMBL11065,9dee5316f1970b1a79ab8f79682a4eb0086c470a,1,0.0,True,1351f897ccf286cd1475a2913c8a7cba0d0b54f6,CCCN1CC[C@H]2Cc3c(O)cccc3C[C@@H]21,6.04,CCCN1CC[C@H]2Cc3c(O)cccc3C[C@@H]21,train
CHEMBL63449,8563426232ec16d8cbee57d338638dc6be9df7d1,1,0.0,True,29d1de86f5bf1c7638fe94d0e753236773cf248d,CCCN(CCC)[C@H]1CCc2ccc3[nH]cc(C(C)=O)c3c2C1,6.37,CCCN(CCC)[C@H]1CCc2ccc3[nH]cc(C(C)=O)c3c2C1,train
CHEMBL4852835,137bc54ad8cab0a78adb36650d9c18bfb5c2aa63,1,0.0,True,193e577bcb1b38daa2e2432a6232083e9f237fb0,COc1ccc(F)cc1[C@@H]1C[C@H]1CNCCCOc1ccc2ccc(=O)[nH]c2c1,6.44,COc1ccc(F)cc1[C@@H]1C[C@H]1CNCCCOc1ccc2ccc(=O)[nH]c2c1,train
